doc_id,volume,image_path,flag
DOJ-OGR-00000001,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000001.tif,Y
DOJ-OGR-00000002,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000002.jpg,Y
DOJ-OGR-00000003,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000003.jpg,
DOJ-OGR-00000004,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000004.jpg,
DOJ-OGR-00000005,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000005.jpg,
DOJ-OGR-00000006,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000006.jpg,
DOJ-OGR-00000007,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000007.jpg,
DOJ-OGR-00000008,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000008.jpg,
DOJ-OGR-00000009,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000009.jpg,
DOJ-OGR-00000010,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000010.jpg,
DOJ-OGR-00000011,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000011.jpg,
DOJ-OGR-00000012,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000012.jpg,
DOJ-OGR-00000013,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000013.jpg,
DOJ-OGR-00000014,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000014.jpg,
DOJ-OGR-00000015,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000015.jpg,
DOJ-OGR-00000016,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000016.jpg,
DOJ-OGR-00000017,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000017.jpg,
DOJ-OGR-00000018,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000018.jpg,
DOJ-OGR-00000019,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000019.jpg,
DOJ-OGR-00000020,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000020.jpg,
DOJ-OGR-00000021,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000021.jpg,
DOJ-OGR-00000022,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000022.jpg,
DOJ-OGR-00000023,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000023.jpg,
DOJ-OGR-00000024,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000024.jpg,
DOJ-OGR-00000025,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000025.jpg,
DOJ-OGR-00000026,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000026.jpg,
DOJ-OGR-00000027,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000027.jpg,
DOJ-OGR-00000028,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000028.jpg,
DOJ-OGR-00000029,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000029.tif,Y
DOJ-OGR-00000030,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000030.tif,
DOJ-OGR-00000031,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000031.tif,
