N 50-43-42-34-01-000-0120-001     489646 25000 464646 RES 
C 50-43-43-27-77-000-0044-001    4D 489868 25000 464868 RES 
S 50-43-44-23-04-000-6010-001    PH-A 489868 25000 464868 RES 
S 50-43-44-35-05-001-5020-001    502 465000 0 465000 RES 
C 50-43-43-27-55-000-0030-001    3 & 4 490924 25500 465424 RES 
S 50-43-44-23-07-003-0025-001    3-B-5 490642 25000 465642 RES 
S 50-43-44-23-07-003-0045-001    3D-5 490642 25000 465642 RES 
N 50-43-43-02-01-000-0400-001     490767 25000 465767 RES 
M 50-43-43-14-21-004-2140-001    214R 466000 0 466000 RES 
M 50-43-43-15-32-000-0052-001    E-2 466000 0 466000 RES 
M 50-43-43-15-32-000-0232-001    W-2 466000 0 466000 RES 
S 50-43-44-23-11-000-2120-001     466000 0 466000 RES 
S 50-43-44-35-19-001-0037-001    3G-I 466000 0 466000 RES 
S 50-43-44-35-19-002-0037-001    3G-II 466000 0 466000 RES 
M 50-43-43-14-21-000-5060-001    R-506 491215 25000 466215 RES 
S 50-43-44-23-08-001-4060-001    406N 491314 25000 466314 RES 
M 50-43-43-14-21-004-4010-001    R-401 491515 25000 466515 RES 
S 50-43-44-15-29-000-0040-001    040 467000 0 467000 RES 
N 50-43-42-34-03-000-1050-001     492732 25000 467732 RES 
S 50-43-44-23-12-000-7020-001    702 468000 0 468000 RES 
S 50-43-44-26-03-001-5100-001    510N 493000 25000 468000 RES 
N 50-43-42-34-06-000-0070-001     493070 25000 468070 RES 
N 50-43-43-10-08-000-0090-001     493077 25000 468077 RES 
N 50-43-43-03-09-000-0110-001     493389 25000 468389 RES 
S 50-43-44-14-04-000-5170-001    517 494000 25500 468500 RES 
S 50-43-44-26-04-001-5010-001    N-501 494091 25500 468591 RES 
C 50-43-43-27-67-000-3020-001    3-B 469000 0 469000 RES 
M 50-43-43-14-24-000-3110-001    311 469000 0 469000 RES 
N 50-43-43-10-07-000-0060-001     494163 25000 469163 RES 
M 50-43-43-14-10-003-0031-001     494854 25500 469354 RES 
S 50-43-44-14-04-000-2170-001    217 470000 0 470000 RES 
S 50-43-44-35-13-001-0073-001    7C-I 495147 25000 470147 RES 
S 50-43-44-26-07-002-6030-001    603-2 495626 25000 470626 RES 
M 50-43-43-14-21-004-3140-001    R-314 471000 0 471000 RES 
S 50-43-44-23-04-000-6040-001    PH-D 471000 0 471000 RES 
S 50-43-44-23-08-003-1010-001    101W 496987 25500 471487 RES 
S 50-43-44-26-07-003-6030-001    3-603 496534 25000 471534 RES 
N 50-43-43-14-05-000-0021-001     496849 25000 471849 RES 
S 50-43-44-15-29-000-0010-001    010 497000 25000 472000 RES 
S 50-43-44-23-05-001-5030-001    503N 472000 0 472000 RES 
S 50-43-44-23-05-002-5030-001    503S 472000 0 472000 RES 
S 50-43-44-23-05-002-5040-001    504S 472000 0 472000 RES 
M 50-43-43-15-08-000-0400-001     497123 25000 472123 RES 
N 50-43-43-03-03-000-0170-001     497484 25000 472484 RES 
N 50-43-43-03-09-000-0480-001     497732 25000 472732 RES 
M 50-43-43-23-26-000-4080-001    4-H 473000 0 473000 RES 
S 50-43-44-23-06-002-3050-001    305 473000 0 473000 RES 
S 50-43-44-23-11-000-3030-001    303 473000 0 473000 RES 
S 50-43-44-23-12-000-6010-001    601 473000 0 473000 RES 
S 50-43-44-23-12-000-8020-001    802 473000 0 473000 RES 
S 50-43-44-23-14-000-2140-001    214 473000 0 473000 RES 
S 50-43-44-26-03-001-3100-001    310N 473000 0 473000 RES 
S 50-43-44-26-03-001-4040-001    404N 473000 0 473000 RES 
N 50-43-43-03-09-000-0471-001     498573 25000 473573 RES 
C 50-43-43-26-17-000-0012-001    1B 474000 0 474000 RES 
C 50-43-43-26-17-000-0021-001    2A 499000 25000 474000 RES 
C 50-43-43-26-17-000-0025-001    2-E 499000 25000 474000 RES 
S 50-43-44-35-19-001-0026-001    2F-I 499127 25000 474127 RES 
C 50-43-43-27-46-002-0051-001    5-A WEST 499370 25000 474370 RES 
M 50-43-43-23-05-012-0211-001    6 MAJ ALLY 499936 25500 474436 RES 
C 50-43-44-11-05-002-1030-001    103S 500214 25500 474714 RES 
S 50-43-44-35-13-001-0041-001    4A-1 475000 0 475000 RES 
S 50-43-44-35-13-002-0041-001    4A-II 475000 0 475000 RES 
N 50-43-42-34-11-000-0110-001     500013 25000 475013 RES 
C 50-43-43-27-54-000-0061-001    PH-A 500552 25500 475052 RES 
N 50-43-43-02-01-000-0090-001     500888 25000 475888 RES 
M 50-43-43-14-23-000-2120-001    212 476000 0 476000 RES 
S 50-43-44-14-01-001-1040-001    104N 476000 0 476000 RES 
S 50-43-44-14-01-001-1050-001    105N 476000 0 476000 RES 
S 50-43-44-14-01-002-1050-001    105S 476000 0 476000 RES 
S 50-43-44-14-01-003-1040-001    104A 476000 0 476000 RES 
S 50-43-44-14-04-000-3090-001    309 476000 0 476000 RES 
S 50-43-44-14-04-000-3170-001    317 476000 0 476000 RES 
S 50-43-44-23-11-000-3120-001    312 476000 0 476000 RES 
S 50-43-44-23-08-002-3030-001    303S 501527 25000 476527 RES 
N 50-43-43-10-07-000-0050-001     501671 25000 476671 RES 
S 50-43-44-23-07-001-0031-001    1C-1 501920 25000 476920 RES 
N 50-43-43-10-04-000-0590-001     502479 25500 476979 RES 
N 50-43-43-10-10-000-0460-001     502236 25000 477236 RES 
M 50-43-43-15-35-000-7070-001    707 502537 25000 477537 RES 
S 50-43-44-15-29-000-0200-001    PH-3 502537 25000 477537 RES 
S 50-43-44-23-11-000-2020-001     478000 0 478000 RES 
S 50-43-44-26-03-002-5010-001    501S 478000 0 478000 RES 
S 50-43-44-35-03-000-8090-001    809 478000 0 478000 RES 
S 50-43-44-26-09-002-4070-001    407-S 503466 25000 478466 RES 
C 50-43-43-26-17-000-0033-001    3-C 504000 25500 478500 RES 
S 50-43-44-23-08-001-2050-001    205N 503593 25000 478593 RES 
C 50-43-43-26-17-000-0034-001    3D 504000 25000 479000 RES 
S 50-43-44-35-05-001-2030-001    203 480000 0 480000 RES 
M 50-43-43-23-27-000-0020-001    UNIT B 505652 25000 480652 RES 
M 50-43-43-14-21-004-5140-001    514-R 481000 0 481000 RES 
M 50-43-43-22-18-001-5140-001    514 481000 0 481000 RES 
S 50-43-44-14-01-001-3040-001    304N 506000 25000 481000 RES 
S 50-43-44-26-02-002-2010-001    201-B 481000 0 481000 RES 
S 50-43-44-35-18-001-2050-001    205N 481000 0 481000 RES 
S 50-43-44-35-18-001-2080-001    208N 481000 0 481000 RES 
S 50-43-44-35-18-002-2050-001    205S 481000 0 481000 RES 
S 50-43-44-35-19-001-0047-001    4G-I 481000 0 481000 RES 
S 50-43-44-23-05-001-3020-001    302N 507000 25500 481500 RES 
M 50-43-43-22-18-001-1170-001    B117 506602 25000 481602 RES 
N 50-43-43-03-13-000-0181-001     506667 25000 481667 RES 
S 50-43-44-26-05-001-1060-001    106N 482000 0 482000 RES 
S 50-43-44-26-05-002-1010-001    101S 507000 25000 482000 RES 
S 50-43-44-35-15-000-0010-001    1 482000 0 482000 RES 
S 50-43-44-35-15-000-0020-001    2 482000 0 482000 RES 
S 50-43-44-35-15-000-0030-001    3 482000 0 482000 RES 
S 50-43-44-35-15-000-0040-001    4 482000 0 482000 RES 
S 50-43-44-35-15-000-0070-001    7 482000 0 482000 RES 
S 50-43-44-23-07-002-0031-001    2C-I 507738 25000 482738 RES 
S 50-43-44-35-24-000-3010-001    301 507816 25000 482816 RES 
S 50-43-44-23-11-000-4030-001    403 483000 0 483000 RES 
S 50-43-44-23-12-000-8010-001    801 483000 0 483000 RES 
M 50-43-43-22-06-000-0970-001     508137 25000 483137 RES 
M 50-43-43-23-15-000-0120-001    A2 508872 25500 483372 RES 
M 50-43-43-22-18-000-4050-001    405A 509000 25500 483500 RES 
S 50-43-44-23-08-003-3010-001    301W 508515 25000 483515 RES 
M 50-43-43-15-27-000-0501-001    501-A 508872 25000 483872 RES 
C 50-43-43-26-17-000-0015-001    1E 484000 0 484000 RES 
S 50-43-44-23-08-003-4010-001    401W 509552 25000 484552 RES 
M 50-43-43-15-32-000-0053-001    E-3 485000 0 485000 RES 
M 50-43-43-15-32-000-0233-001    W-3 485000 0 485000 RES 
S 50-43-44-35-05-001-7020-001    702 485000 0 485000 RES 
S 50-43-44-35-13-001-0051-001    5A-I 485000 0 485000 RES 
S 50-43-44-35-13-002-0051-001    5A-II 485000 0 485000 RES 
C 50-43-43-26-15-000-3020-001    302 510605 25500 485105 RES 
M 50-43-43-22-18-000-3080-001    308A 485220 0 485220 RES 
C 50-43-43-26-15-000-2020-001    202 510605 25000 485605 RES 
M 50-43-43-14-21-004-6140-001    614 486000 0 486000 RES 
M 50-43-43-14-23-000-3120-001    312 486000 0 486000 RES 
S 50-43-44-23-11-000-4120-001    412 486000 0 486000 RES 
S 50-43-44-35-18-002-5050-001    505S 511000 25000 486000 RES 
M 50-43-43-22-07-000-3740-001     511253 25000 486253 RES 
M 50-43-43-22-08-000-7761-001     511310 25000 486310 RES 
N 50-43-43-10-10-000-0260-001     512257 25500 486757 RES 
N 50-43-43-10-10-000-0340-001     512385 25500 486885 RES 
S 50-43-44-35-05-001-2010-001    201 487000 0 487000 RES 
M 50-43-43-22-18-001-1210-001    121B 488000 0 488000 RES 
S 50-43-44-23-06-002-4050-001    405 488000 0 488000 RES 
N 50-43-42-34-06-000-0030-001     513604 25000 488604 RES 
N 50-43-42-34-08-000-0090-001     513729 25000 488729 RES 
C 50-43-43-26-17-000-0022-001    2B 489000 0 489000 RES 
C 50-43-43-27-64-000-2070-001    207 514000 25000 489000 RES 
C 50-43-43-27-67-000-4020-001    4-B 489000 0 489000 RES 
M 50-43-43-14-23-000-3110-001    311 489000 0 489000 RES 
M 50-43-43-23-08-000-0040-001    2B 514000 25000 489000 RES 
S 50-43-44-23-11-000-6040-001    604 489000 0 489000 RES 
S 50-43-44-35-19-002-0016-001    1-F-II 489000 0 489000 RES 
N 50-43-43-02-01-000-0080-001     514059 25000 489059 RES 
S 50-43-44-35-18-001-1030-001    103N 514150 25000 489150 RES 
M 50-43-43-14-21-000-2220-001    R-222 514743 25500 489243 RES 
S 50-43-44-23-07-002-0022-001    2B-2 514389 25000 489389 RES 
M 50-43-43-23-08-000-0030-001    2A 514900 25000 489900 RES 
M 50-43-43-15-27-000-0216-001    0216 490000 0 490000 RES 
S 50-43-44-35-05-001-3030-001    303 490000 0 490000 RES 
N 50-43-43-10-10-000-0330-001     515401 25000 490401 RES 
S 50-43-44-23-09-001-0026-001    1B6 520799 30000 490799 RES 
S 50-43-44-23-11-000-2010-001    201 491000 0 491000 RES 
S 50-43-44-35-18-001-3050-001    305N 491000 0 491000 RES 
S 50-43-44-35-18-001-3080-001    308N 491000 0 491000 RES 
S 50-43-44-35-18-002-3050-001    305S 491000 0 491000 RES 
S 50-43-44-14-03-000-0080-001     516527 25000 491527 RES 
S 50-43-44-23-06-002-2060-001    206S 492000 0 492000 RES 
S 50-43-44-26-03-001-3010-001    301 492000 0 492000 RES 
S 50-43-44-35-02-000-1080-001    108 492000 0 492000 RES 
S 50-43-44-35-18-001-2010-001    201N 492000 0 492000 RES 
S 50-43-44-35-24-000-2060-001    206 492000 0 492000 RES 
C 50-43-43-27-62-000-0060-001    6 492126 0 492126 RES 
N 50-43-42-34-08-000-0430-001     517280 25000 492280 RES 
N 50-43-43-10-01-000-0010-001     517468 25000 492468 RES 
N 50-43-43-14-05-000-0030-001     517637 25000 492637 RES 
N 50-43-43-10-10-000-0350-001     518309 25500 492809 RES 
C 50-43-43-26-16-000-0100-001    J 518000 25000 493000 RES 
S 50-43-44-23-11-000-3020-001    302 493000 0 493000 RES 
S 50-43-44-23-11-000-5020-001    502 493000 0 493000 RES 
C 50-43-43-26-05-000-7190-001    PH2 518774 25500 493274 RES 
M 50-43-43-15-23-000-2010-001    201 518816 25500 493316 RES 
C 50-43-43-26-05-000-6010-001    601 518700 25000 493700 RES 
M 50-43-43-14-24-000-4100-001    410 494000 0 494000 RES 
M 50-43-43-22-18-001-4140-001    414 494050 0 494050 RES 
S 50-43-44-23-08-001-5050-001    505N 519429 25000 494429 RES 
S 50-43-44-23-08-002-7050-001    705S 519429 25000 494429 RES 
N 50-43-43-10-08-000-0030-001     519646 25000 494646 RES 
C 50-43-43-27-64-000-3090-001    309 & 310 495000 0 495000 RES 
S 50-43-44-26-05-001-1020-001    102N 495000 0 495000 RES 
S 50-43-44-26-05-002-1060-001    106S 495000 0 495000 RES 
S 50-43-44-35-13-002-0061-001    6A-II 495000 0 495000 RES 
M 50-43-43-14-12-000-0011-001     520029 25000 495029 RES 
