M 50-43-43-22-01-002-0030-001     903464 25000 878464 RES 
S 50-43-44-14-02-002-3070-001    307S 904000 25000 879000 RES 
S 50-43-44-23-09-001-0014-001    1A4 879000 0 879000 RES 
S 50-43-44-26-07-002-3030-001    303-2 879000 0 879000 RES 
S 50-43-44-35-13-001-0064-001    6D-I 879000 0 879000 RES 
S 50-43-44-35-13-002-0064-001    6D-II 879000 0 879000 RES 
C 50-43-43-27-43-000-0090-001    9 880000 0 880000 RES 
S 50-43-44-23-07-002-0013-001    2-A-3 880000 0 880000 RES 
S 50-43-44-23-07-003-0043-001    3-D-3 880000 0 880000 RES 
M 50-43-43-23-10-000-0032-001    4A 906412 25000 881412 RES 
N 50-43-42-34-07-000-0190-001     907165 25000 882165 RES 
S 50-43-44-14-02-001-6040-001    604N 907742 25000 882742 RES 
S 50-43-44-23-09-001-0032-001    R12C 883000 0 883000 RES 
S 50-43-44-26-04-001-5020-001    N-502 883000 0 883000 RES 
M 50-43-43-15-03-000-0660-001     908308 25000 883308 RES 
M 50-43-43-15-27-000-0514-001    514-C 884000 0 884000 RES 
M 50-43-43-23-05-025-0022-001     909724 25000 884724 RES 
C 50-43-43-35-01-000-0070-001     909824 25000 884824 RES 
M 50-43-43-15-27-000-0214-001    214-D 910000 25000 885000 RES 
S 50-43-44-26-03-001-4020-001    402N 885000 0 885000 RES 
S 50-43-44-26-03-001-4030-001    403N 885000 0 885000 RES 
M 50-43-43-23-05-010-0090-001     910749 25000 885749 RES 
N 50-43-43-03-09-000-0390-001     912129 25000 887129 RES 
M 50-43-43-14-21-004-4120-001    412 888000 0 888000 RES 
M 50-43-43-15-27-000-0302-001    302-B 888000 0 888000 RES 
M 50-43-43-15-33-001-2050-001    205 913043 25000 888043 RES 
M 50-43-43-23-07-000-0080-001    3A 889000 0 889000 RES 
M 50-43-43-23-07-000-0120-001    3E 889000 0 889000 RES 
S 50-43-44-23-06-001-3020-001    302N 889000 0 889000 RES 
S 50-43-44-23-06-002-3010-001    301S 889000 0 889000 RES 
S 50-43-44-23-06-002-3080-001    308S 889000 0 889000 RES 
S 50-43-44-23-07-002-0015-001    A5-2 890000 0 890000 RES 
S 50-43-44-23-07-002-0044-001    2-D-4 890000 0 890000 RES 
S 50-43-44-23-07-003-0044-001    4D-3 890000 0 890000 RES 
S 50-43-44-23-08-003-3020-001    302W 890000 0 890000 RES 
N 50-43-43-10-01-000-0030-001     915634 25000 890634 RES 
C 50-43-43-26-06-009-5040-001    PH-D 916271 25500 890771 RES 
C 50-43-43-35-04-000-0040-001     915816 25000 890816 RES 
M 50-43-43-22-18-000-2140-001    214 891000 0 891000 RES 
S 50-43-44-26-07-003-3030-001    303-3 917000 25000 892000 RES 
N 50-43-43-14-07-000-0210-001     917500 25000 892500 RES 
C 50-43-43-35-00-002-0320-001     918326 25000 893326 RES 
N 50-43-42-34-01-000-0140-001     918608 25000 893608 RES 
M 50-43-43-23-10-000-0029-001    3E 919000 25000 894000 RES 
N 50-43-43-10-04-000-0850-001     919338 25000 894338 RES 
M 50-43-43-14-21-004-6050-001    605R 920614 25000 895614 RES 
M 50-43-43-22-05-000-0221-001     895715 0 895715 RES 
M 50-43-43-22-07-000-5090-001     920756 25000 895756 RES 
C 50-43-44-11-05-001-5030-001    503N 896000 0 896000 RES 
C 50-43-44-11-05-002-5030-001    503S 896000 0 896000 RES 
C 50-43-44-11-05-002-5070-001    507S 896000 0 896000 RES 
S 50-43-44-26-07-003-2030-001    203-3 897000 0 897000 RES 
M 50-43-43-22-18-000-2170-001    A217 897380 0 897380 RES 
M 50-43-43-22-18-001-2200-001    B220 897380 0 897380 RES 
N 50-43-42-34-02-000-0150-001     922385 25000 897385 RES 
M 50-43-43-22-09-000-0051-001     897557 0 897557 RES 
M 50-43-43-14-21-004-5070-001    507 & 508 898000 0 898000 RES 
M 50-43-43-14-21-004-5120-001    R-512 898000 0 898000 RES 
S 50-43-44-26-04-002-4020-001    S-402 898000 0 898000 RES 
S 50-43-44-26-09-001-3040-001    304-N 898000 0 898000 RES 
S 50-43-44-26-09-002-3040-001    304-S 898000 0 898000 RES 
M 50-43-43-23-10-000-0022-001    2E 899000 0 899000 RES 
S 50-43-44-23-09-001-0016-001    1A6 899000 0 899000 RES 
S 50-43-44-35-13-002-0074-001    7D-II 899000 0 899000 RES 
C 50-43-43-26-13-000-0043-001    4C 924374 25000 899374 RES 
M 50-43-43-23-05-006-0340-001     924493 25000 899493 RES 
N 50-43-43-03-11-000-0401-001     924894 25000 899894 RES 
M 50-43-43-14-07-000-0580-001     925496 25000 900496 RES 
S 50-43-44-26-09-001-4050-001    405-N 926000 25500 900500 RES 
C 50-43-43-26-05-000-3050-001    305 901000 0 901000 RES 
S 50-43-44-26-09-002-3050-001    305-S 901000 0 901000 RES 
M 50-43-43-23-05-008-0490-001     926158 25000 901158 RES 
N 50-43-43-10-10-000-0151-001     926209 25000 901209 RES 
M 50-43-43-22-23-000-0070-001     926496 25000 901496 RES 
C 50-43-43-27-67-000-3050-001    3-E 902000 0 902000 RES 
M 50-43-43-14-28-000-0050-001    5 902000 0 902000 RES 
M 50-43-43-14-21-000-5170-001    R-517 903000 0 903000 RES 
S 50-43-44-23-06-003-5030-001    503W 903000 0 903000 RES 
S 50-43-44-23-09-001-0034-001    1C4 903000 0 903000 RES 
S 50-43-44-26-09-001-3020-001    302-N 903000 0 903000 RES 
M 50-43-43-23-07-000-0180-001    4-E 904000 0 904000 RES 
N 50-43-43-03-14-000-0331-001     930499 25000 905499 RES 
C 50-43-44-11-05-001-5020-001    502N 907000 0 907000 RES 
C 50-43-44-11-05-002-5020-001    502S 907000 0 907000 RES 
S 50-43-44-14-02-001-4020-001    402-N 907000 0 907000 RES 
S 50-43-44-14-02-001-4070-001    407-N 907000 0 907000 RES 
S 50-43-44-14-02-002-4020-001    402S 907000 0 907000 RES 
M 50-43-43-14-21-004-6120-001    R-612 908000 0 908000 RES 
M 50-43-43-14-28-000-0060-001    6 908000 0 908000 RES 
S 50-43-44-23-09-001-0037-001    R1C7 933000 25000 908000 RES 
S 50-43-44-26-09-001-5010-001    501-N 908000 0 908000 RES 
S 50-43-44-23-06-002-4010-001    401 909000 0 909000 RES 
S 50-43-44-23-06-002-4080-001    408S 909000 0 909000 RES 
M 50-43-43-23-14-000-1020-001    102 909021 0 909021 RES 
S 50-43-44-23-08-003-4020-001    402W 910000 0 910000 RES 
S 50-43-44-26-03-001-5030-001    503N 910000 0 910000 RES 
M 50-43-43-22-07-000-3560-001     935178 25000 910178 RES 
N 50-43-43-10-24-000-0190-001     935800 25000 910800 RES 
S 50-43-44-23-09-001-0022-001    1B2 911000 0 911000 RES 
S 50-43-44-26-08-001-5060-001    N-506 936450 25000 911450 RES 
N 50-43-42-34-08-000-0250-001     936719 25000 911719 RES 
M 50-43-43-15-33-001-1050-001    105 942787 30000 912787 RES 
S 50-43-44-23-09-001-0035-001    1C5 913000 0 913000 RES 
M 50-43-43-15-33-001-5040-001    504 939327 25500 913827 RES 
M 50-43-43-22-06-000-0670-001     939216 25000 914216 RES 
